192 센티미터,경기,cafe,,"""애견동반가능카페 주차가능.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA3MzFfMjg3%2FMDAxNjU5MjQ0NjYyNTA2.4UlM7MoCYDcQM2r0D_aoQHc18OZQ_cU9eYAIrVNntYUg.sogr99cU8ewniVNIMOhQpPvJbiwP6APJZntq0lm32fsg.JPEG%2Fupload_c1f44a211948f6a84c82fc0b699a0eec.jpeg
25디셈브리스,부산,cafe,4.84,"""숲속에있는 애견동반카페.힐링이 되는곳""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MDlfMTY0%2FMDAxNjYwMDUwODMzNjEx.PMJGzqhjSU96oMOme_IPrOfFZIiiy19W7lyjuubYlVUg.pmtFD2yjyy9DhOoiZlUj-5SGWrBesdCemP4Q4Fm_HA0g.JPEG%2Fupload_f7c91908200e1ed0cea4f4ee887de2b8.jpeg
38DEGREE,강원,cafe,4.35,"""무엇보다 애견동반으로 이렇게 예쁜카페 처음가봐요!!""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20220226_290%2F1645851050713htyTv_JPEG%2Fupload_391990b9c7df5f2814a904ddef4228a2.jpg
AVE 1465,부산,cafe,4.46,"""애견동반 가능한 카페이며, 야외 테라스 좌석이 있습니다.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20220215_155%2F1644914021196mqsVB_JPEG%2Fupload_f45caf6b85046b7994d5f8ea428ce3fb.jpg
cafe esther,전북,cafe,4.58,"""크로플 맛집 :) 아메 2,500원 착한가격. 애견동반가능.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA2MDlfNTMg%2FMDAxNjU0NzUyMDU3Nzcw.C8J6i3yYNgpdjrDXXTJ16cOK0hwEYPGPnTWbNoA8wjUg.15h9LxysCW7tVNCLOJvNA9k5gDr-9oAa7xvuqdtDAIYg.JPEG%2Fupload_54a7277e4b1a0398bd91b3ea59412c38.jpeg
cafe858,충남,cafe,4.55,"""여긴 애견 동반 카페라고 하시면 안될듯..""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MTJfMjk4%2FMDAxNjYwMjgwNjA2MDQ1._EBz2xr1cLcbsoBvMywqZZf9hYCFnVwIHnTyIaAfwP4g.D2rOdtuuumEd6WrLJTkDjKCw3AOGxQGUkEh6yb3TY3cg.JPEG%2Fupload_a4b36725a6972c348e275636e590d406.jpeg
CORDELIA,경남,cafe,4.32,"""야외테이블 애견동반이 가능하고 마창대교를 비롯한 마산앞바다 뷰가 멋지다.""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA3MjVfMjk0%2FMDAxNjU4NzI2MDMwNjg2.NbMiPyu0pZSlHL1-VXQg128TJI-as4Cxyag3roeEoLEg.sX6CVc5rlCSDKOr0_VrxEgU-1inEz0zLzC2gOFBcjPQg.JPEG%2Fupload_8c2ae3352fe203dd83e8a5d2a98f8675.jpg
FLAT172,제주,cafe,4.55,"""음료 굉장히 저렴하고 맛있는데 강아지 동반 가능이라 더좋음""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA2MjFfMzIg%2FMDAxNjU1ODAxMDY2OTc4.HP4xyXxGrg8vwfC9781MshLP5ndqIDvXyyuocYJhGRkg.zjVWZgaJxKPAaeekCPM90h95zrNTkzSxZ9vu0FESqW0g.JPEG%2Fupload_13ecb4f28afa64f4621c39139dc041a1.jpg
LISMORE,경남,cafe,4.42,"""애완견 동반이 된다고 들었어요^^♡""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MDNfMjcw%2FMDAxNjU5NTEyMTA5OTM5.7TESbVpp4LNM2ojNtL4ToOWNSjRZeVf6GQMhKH9SoLsg.zB0bYQCkoBywLndCus4Tnovos8rsmkTYPIhbnYp31nYg.JPEG%2Fupload_fdb08d9d824bb9fb4a4a31f7a732153a.jpeg
N109,제주,cafe,4.5,"""너무 예쁜 애견동반 카페입니다!!:-))""",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fmyplace-phinf.pstatic.net%2F20210905_15%2F1630774566724p7HrV_JPEG%2Fupload_8f29241e8a55e414c01552ba97368b5e.jpeg
